year,age,area,gender,event,value
2012,0,Всего по республике,both,arrive,451
2012,0,Всего по республике,female,arrive,229
2012,0,Всего по республике,male,arrive,222
2012,1,Всего по республике,both,arrive,542
2012,1,Всего по республике,female,arrive,276
2012,1,Всего по республике,male,arrive,266
2012,2,Всего по республике,both,arrive,493
2012,2,Всего по республике,female,arrive,242
2012,2,Всего по республике,male,arrive,251
2012,3,Всего по республике,both,arrive,433
2012,3,Всего по республике,female,arrive,194
2012,3,Всего по республике,male,arrive,239
2012,4,Всего по республике,both,arrive,459
2012,4,Всего по республике,female,arrive,207
2012,4,Всего по республике,male,arrive,252
2012,5,Всего по республике,both,arrive,366
2012,5,Всего по республике,female,arrive,177
2012,5,Всего по республике,male,arrive,189
2012,6,Всего по республике,both,arrive,412
2012,6,Всего по республике,female,arrive,199
2012,6,Всего по республике,male,arrive,213
2012,7,Всего по республике,both,arrive,345
2012,7,Всего по республике,female,arrive,184
2012,7,Всего по республике,male,arrive,161
2012,8,Всего по республике,both,arrive,272
2012,8,Всего по республике,female,arrive,148
2012,8,Всего по республике,male,arrive,124
2012,9,Всего по республике,both,arrive,310
2012,9,Всего по республике,female,arrive,146
2012,9,Всего по республике,male,arrive,164
2012,10,Всего по республике,both,arrive,247
2012,10,Всего по республике,female,arrive,135
2012,10,Всего по республике,male,arrive,112
2012,11,Всего по республике,both,arrive,190
2012,11,Всего по республике,female,arrive,85
2012,11,Всего по республике,male,arrive,105
2012,12,Всего по республике,both,arrive,191
2012,12,Всего по республике,female,arrive,84
2012,12,Всего по республике,male,arrive,107
2012,13,Всего по республике,both,arrive,179
2012,13,Всего по республике,female,arrive,96
2012,13,Всего по республике,male,arrive,83
2012,14,Всего по республике,both,arrive,200
2012,14,Всего по республике,female,arrive,97
2012,14,Всего по республике,male,arrive,103
2012,15,Всего по республике,both,arrive,405
2012,15,Всего по республике,female,arrive,208
2012,15,Всего по республике,male,arrive,197
2012,16,Всего по республике,both,arrive,897
2012,16,Всего по республике,female,arrive,448
2012,16,Всего по республике,male,arrive,449
2012,17,Всего по республике,both,arrive,954
2012,17,Всего по республике,female,arrive,520
2012,17,Всего по республике,male,arrive,434
2012,18,Всего по республике,both,arrive,1297
2012,18,Всего по республике,female,arrive,747
2012,18,Всего по республике,male,arrive,550
2012,19,Всего по республике,both,arrive,1028
2012,19,Всего по республике,female,arrive,630
2012,19,Всего по республике,male,arrive,398
2012,20,Всего по республике,both,arrive,1222
2012,20,Всего по республике,female,arrive,740
2012,20,Всего по республике,male,arrive,482
2012,21,Всего по республике,both,arrive,1076
2012,21,Всего по республике,female,arrive,612
2012,21,Всего по республике,male,arrive,464
2012,22,Всего по республике,both,arrive,1121
2012,22,Всего по республике,female,arrive,679
2012,22,Всего по республике,male,arrive,442
2012,23,Всего по республике,both,arrive,1214
2012,23,Всего по республике,female,arrive,740
2012,23,Всего по республике,male,arrive,474
2012,24,Всего по республике,both,arrive,1226
2012,24,Всего по республике,female,arrive,709
2012,24,Всего по республике,male,arrive,517
2012,25,Всего по республике,both,arrive,1309
2012,25,Всего по республике,female,arrive,755
2012,25,Всего по республике,male,arrive,554
2012,26,Всего по республике,both,arrive,1201
2012,26,Всего по республике,female,arrive,679
2012,26,Всего по республике,male,arrive,522
2012,27,Всего по республике,both,arrive,1119
2012,27,Всего по республике,female,arrive,637
2012,27,Всего по республике,male,arrive,482
2012,28,Всего по республике,both,arrive,1088
2012,28,Всего по республике,female,arrive,575
2012,28,Всего по республике,male,arrive,513
2012,29,Всего по республике,both,arrive,993
2012,29,Всего по республике,female,arrive,523
2012,29,Всего по республике,male,arrive,470
2012,30,Всего по республике,both,arrive,847
2012,30,Всего по республике,female,arrive,434
2012,30,Всего по республике,male,arrive,413
2012,31,Всего по республике,both,arrive,778
2012,31,Всего по республике,female,arrive,391
2012,31,Всего по республике,male,arrive,387
2012,32,Всего по республике,both,arrive,674
2012,32,Всего по республике,female,arrive,349
2012,32,Всего по республике,male,arrive,325
2012,33,Всего по республике,both,arrive,663
2012,33,Всего по республике,female,arrive,339
2012,33,Всего по республике,male,arrive,324
2012,34,Всего по республике,both,arrive,578
2012,34,Всего по республике,female,arrive,284
2012,34,Всего по республике,male,arrive,294
2012,35,Всего по республике,both,arrive,556
2012,35,Всего по республике,female,arrive,268
2012,35,Всего по республике,male,arrive,288
2012,36,Всего по республике,both,arrive,487
2012,36,Всего по республике,female,arrive,211
2012,36,Всего по республике,male,arrive,276
2012,37,Всего по республике,both,arrive,467
2012,37,Всего по республике,female,arrive,193
2012,37,Всего по республике,male,arrive,274
2012,38,Всего по республике,both,arrive,376
2012,38,Всего по республике,female,arrive,163
2012,38,Всего по республике,male,arrive,213
2012,39,Всего по республике,both,arrive,347
2012,39,Всего по республике,female,arrive,157
2012,39,Всего по республике,male,arrive,190
2012,40,Всего по республике,both,arrive,356
2012,40,Всего по республике,female,arrive,156
2012,40,Всего по республике,male,arrive,200
2012,41,Всего по республике,both,arrive,301
2012,41,Всего по республике,female,arrive,130
2012,41,Всего по республике,male,arrive,171
2012,42,Всего по республике,both,arrive,323
2012,42,Всего по республике,female,arrive,138
2012,42,Всего по республике,male,arrive,185
2012,43,Всего по республике,both,arrive,247
2012,43,Всего по республике,female,arrive,108
2012,43,Всего по республике,male,arrive,139
2012,44,Всего по республике,both,arrive,288
2012,44,Всего по республике,female,arrive,128
2012,44,Всего по республике,male,arrive,160
2012,45,Всего по республике,both,arrive,280
2012,45,Всего по республике,female,arrive,105
2012,45,Всего по республике,male,arrive,175
2012,46,Всего по республике,both,arrive,262
2012,46,Всего по республике,female,arrive,113
2012,46,Всего по республике,male,arrive,149
2012,47,Всего по республике,both,arrive,262
2012,47,Всего по республике,female,arrive,121
2012,47,Всего по республике,male,arrive,141
2012,48,Всего по республике,both,arrive,256
2012,48,Всего по республике,female,arrive,112
2012,48,Всего по республике,male,arrive,144
2012,49,Всего по республике,both,arrive,272
2012,49,Всего по республике,female,arrive,120
2012,49,Всего по республике,male,arrive,152
2012,50,Всего по республике,both,arrive,270
2012,50,Всего по республике,female,arrive,123
2012,50,Всего по республике,male,arrive,147
2012,51,Всего по республике,both,arrive,312
2012,51,Всего по республике,female,arrive,136
2012,51,Всего по республике,male,arrive,176
2012,52,Всего по республике,both,arrive,307
2012,52,Всего по республике,female,arrive,159
2012,52,Всего по республике,male,arrive,148
2012,53,Всего по республике,both,arrive,327
2012,53,Всего по республике,female,arrive,169
2012,53,Всего по республике,male,arrive,158
2012,54,Всего по республике,both,arrive,255
2012,54,Всего по республике,female,arrive,130
2012,54,Всего по республике,male,arrive,125
2012,55,Всего по республике,both,arrive,294
2012,55,Всего по республике,female,arrive,160
2012,55,Всего по республике,male,arrive,134
2012,56,Всего по республике,both,arrive,293
2012,56,Всего по республике,female,arrive,151
2012,56,Всего по республике,male,arrive,142
2012,57,Всего по республике,both,arrive,252
2012,57,Всего по республике,female,arrive,146
2012,57,Всего по республике,male,arrive,106
2012,58,Всего по республике,both,arrive,257
2012,58,Всего по республике,female,arrive,135
2012,58,Всего по республике,male,arrive,122
2012,59,Всего по республике,both,arrive,219
2012,59,Всего по республике,female,arrive,119
2012,59,Всего по республике,male,arrive,100
2012,60,Всего по республике,both,arrive,259
2012,60,Всего по республике,female,arrive,136
2012,60,Всего по республике,male,arrive,123
2012,61,Всего по республике,both,arrive,190
2012,61,Всего по республике,female,arrive,101
2012,61,Всего по республике,male,arrive,89
2012,62,Всего по республике,both,arrive,193
2012,62,Всего по республике,female,arrive,93
2012,62,Всего по республике,male,arrive,100
2012,63,Всего по республике,both,arrive,171
2012,63,Всего по республике,female,arrive,96
2012,63,Всего по республике,male,arrive,75
2012,64,Всего по республике,both,arrive,135
2012,64,Всего по республике,female,arrive,78
2012,64,Всего по республике,male,arrive,57
2012,65,Всего по республике,both,arrive,153
2012,65,Всего по республике,female,arrive,86
2012,65,Всего по республике,male,arrive,67
2012,66,Всего по республике,both,arrive,82
2012,66,Всего по республике,female,arrive,43
2012,66,Всего по республике,male,arrive,39
2012,67,Всего по республике,both,arrive,56
2012,67,Всего по республике,female,arrive,27
2012,67,Всего по республике,male,arrive,29
2012,68,Всего по республике,both,arrive,35
2012,68,Всего по республике,female,arrive,23
2012,68,Всего по республике,male,arrive,12
2012,69,Всего по республике,both,arrive,55
2012,69,Всего по республике,female,arrive,27
2012,69,Всего по республике,male,arrive,28
2012,70,Всего по республике,both,arrive,80
2012,70,Всего по республике,female,arrive,51
2012,70,Всего по республике,male,arrive,29
2012,71,Всего по республике,both,arrive,94
2012,71,Всего по республике,female,arrive,71
2012,71,Всего по республике,male,arrive,23
2012,72,Всего по республике,both,arrive,124
2012,72,Всего по республике,female,arrive,83
2012,72,Всего по республике,male,arrive,41
2012,73,Всего по республике,both,arrive,131
2012,73,Всего по республике,female,arrive,90
2012,73,Всего по республике,male,arrive,41
2012,74,Всего по республике,both,arrive,81
2012,74,Всего по республике,female,arrive,58
2012,74,Всего по республике,male,arrive,23
2012,75,Всего по республике,both,arrive,93
2012,75,Всего по республике,female,arrive,64
2012,75,Всего по республике,male,arrive,29
2012,76,Всего по республике,both,arrive,92
2012,76,Всего по республике,female,arrive,66
2012,76,Всего по республике,male,arrive,26
2012,77,Всего по республике,both,arrive,76
2012,77,Всего по республике,female,arrive,56
2012,77,Всего по республике,male,arrive,20
2012,78,Всего по республике,both,arrive,67
2012,78,Всего по республике,female,arrive,53
2012,78,Всего по республике,male,arrive,14
2012,79,Всего по республике,both,arrive,77
2012,79,Всего по республике,female,arrive,54
2012,79,Всего по республике,male,arrive,23
2012,80,Всего по республике,both,arrive,564
2012,80,Всего по республике,female,arrive,472
2012,80,Всего по республике,male,arrive,92
2013,0,Всего по республике,both,arrive,499
2013,0,Всего по республике,female,arrive,267
2013,0,Всего по республике,male,arrive,232
2013,1,Всего по республике,both,arrive,729
2013,1,Всего по республике,female,arrive,344
2013,1,Всего по республике,male,arrive,385
2013,2,Всего по республике,both,arrive,584
2013,2,Всего по республике,female,arrive,279
2013,2,Всего по республике,male,arrive,305
2013,3,Всего по республике,both,arrive,577
2013,3,Всего по республике,female,arrive,294
2013,3,Всего по республике,male,arrive,283
2013,4,Всего по республике,both,arrive,512
2013,4,Всего по республике,female,arrive,261
2013,4,Всего по республике,male,arrive,251
2013,5,Всего по республике,both,arrive,454
2013,5,Всего по республике,female,arrive,228
2013,5,Всего по республике,male,arrive,226
2013,6,Всего по республике,both,arrive,567
2013,6,Всего по республике,female,arrive,289
2013,6,Всего по республике,male,arrive,278
2013,7,Всего по республике,both,arrive,473
2013,7,Всего по республике,female,arrive,237
2013,7,Всего по республике,male,arrive,236
2013,8,Всего по республике,both,arrive,334
2013,8,Всего по республике,female,arrive,137
2013,8,Всего по республике,male,arrive,197
2013,9,Всего по республике,both,arrive,329
2013,9,Всего по республике,female,arrive,165
2013,9,Всего по республике,male,arrive,164
2013,10,Всего по республике,both,arrive,323
2013,10,Всего по республике,female,arrive,150
2013,10,Всего по республике,male,arrive,173
2013,11,Всего по республике,both,arrive,275
2013,11,Всего по республике,female,arrive,127
2013,11,Всего по республике,male,arrive,148
2013,12,Всего по республике,both,arrive,257
2013,12,Всего по республике,female,arrive,119
2013,12,Всего по республике,male,arrive,138
2013,13,Всего по республике,both,arrive,224
2013,13,Всего по республике,female,arrive,107
2013,13,Всего по республике,male,arrive,117
2013,14,Всего по республике,both,arrive,254
2013,14,Всего по республике,female,arrive,121
2013,14,Всего по республике,male,arrive,133
2013,15,Всего по республике,both,arrive,545
2013,15,Всего по республике,female,arrive,308
2013,15,Всего по республике,male,arrive,237
